stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
8150,南茂,67.0,2.3,6.35,11.07,26.38,64.1,15,23.1,5892228.0,14000.0,9395459.0,31000.0,True,True,97.61,61.45,78.81
2376,技嘉,279.0,1.76,5.88,17.24,72.24,71.7,18,74.8,10583988.0,105575.0,11308397.0,485945.0,True,False,117.83,0.0,56.56
3016,嘉晶,62.6,1.62,2.96,7.84,2.95,60.7,2,20.3,836724.0,0.0,1536592.0,0.0,True,True,24.78,80.51,53.76
4540,全球傳動,53.4,2.41,2.89,17.38,8.2,69.8,3,75.1,167920.0,0.0,3018920.0,0.0,True,True,43.68,57.15,50.68
2353,宏碁,27.5,1.65,0.92,0.77,7.33,53.6,3,2.1,314650.0,-392017.0,4056657.0,-560775.0,True,True,18.83,76.87,49.01
1605,華新,32.4,1.56,0.62,2.24,10.85,51.2,2,2.5,3724300.0,-983493.0,10132238.0,-955524.0,True,True,15.22,75.47,46.55
3701,大眾控,64.3,2.03,3.71,8.63,9.17,58.7,2,-30.3,1050930.0,-1000.0,1890930.0,-12000.0,True,True,27.71,56.24,42.55
6282,康舒,51.0,3.0,1.19,8.52,52.91,58.6,0,17.3,-10158377.0,-22000.0,-6290785.0,-104000.0,False,True,0.0,57.15,29.72
6271,同欣電,183.0,2.04,3.98,17.28,45.32,68.2,1,-4.6,-2797333.0,2878000.0,-2109078.0,2878000.0,True,True,33.89,20.32,26.83
2049,上銀,282.0,2.32,2.55,18.65,85.04,70.6,5,17.4,550365.0,14000.0,734544.0,41000.0,True,False,54.37,0.0,26.1
1503,士電,194.0,1.59,0.26,-0.71,5.04,50.1,0,35.3,-251753.0,0.0,-215631.0,3000.0,False,True,0.0,49.86,25.93
1519,華城,877.0,2.21,5.66,0.32,46.25,51.9,0,3.4,-655589.0,-18325.0,-758566.0,6350.0,False,True,0.0,48.77,25.36
2312,金寶,23.4,1.88,3.08,2.19,6.06,52.4,0,-13.1,-1415150.0,-1485000.0,2847066.0,-1967000.0,False,True,0.0,47.61,24.76
2498,宏達電,41.0,1.67,1.49,-0.08,4.64,49.2,0,-8.3,-1013234.0,-3000.0,604917.0,-10000.0,False,True,0.0,46.18,24.01
6155,鈞寶,48.95,1.68,-1.21,7.64,3.2,56.2,0,6.5,-266000.0,0.0,-723340.0,0.0,False,True,0.0,45.87,23.85
2375,凱美,85.9,1.69,0.82,7.49,7.54,58.2,0,2.7,-987000.0,0.0,-1989800.0,0.0,False,True,0.0,45.82,23.83
2359,所羅門,115.5,1.64,0.87,1.2,2.82,51.1,0,-44.1,-489000.0,0.0,-261600.0,0.0,False,True,0.0,45.36,23.59
6166,凌華,71.7,2.1,-0.83,16.96,3.69,72.2,4,28.8,1643300.0,0.0,2328369.0,0.0,True,False,43.26,0.0,20.76
2454,聯發科,1790.0,1.93,4.07,8.89,412.85,65.0,5,12.9,4490766.0,264196.0,5051402.0,-118183.0,True,False,42.74,0.0,20.52
6706,惠特,149.5,1.82,7.17,20.22,36.48,65.6,1,-59.6,2371588.0,0.0,3132213.0,0.0,True,False,40.24,0.0,19.32
3044,健鼎,402.0,2.0,5.37,10.53,41.4,64.2,2,24.4,2093187.0,-701463.0,2487912.0,-945139.0,True,False,31.74,0.0,15.24
8210,勤誠,992.0,1.56,3.23,10.71,54.39,62.6,2,44.7,-81767.0,108000.0,183012.0,799000.0,True,False,28.45,0.0,13.66
